,Inflation Compass,SPY
CAGR,0.21370280420133292,0.1123525267068548
Sharpe,1.222212650494444,0.7769697737223048
Volatility,0.17155228641128833,0.15285079969327617
Max drawdown,-0.1852830671559016,-0.5129515001871778
Sortino,2.245926034711218,1.1606996227988409
Calmar,1.1533855061969494,0.2190314808824167
Growth of $1,106.09768100123239,12.991886943287412
Daily max drawdown,-0.2406310327699629,-0.5518942465596562
