signal_date,date,execution,traded_notional,equity_at_entry,SPY,IWM,EFA,EEM,VNQ,PDBC,IEF,TLT,TIP,SGOV,BIL
2015-11-30,2015-12-01,next-session open,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-12-31,2016-01-04,next-session open,0.0,1.0001355480990024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-29,2016-02-01,next-session open,0.0,1.027275422134174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-02-29,2016-03-01,next-session open,0.5,1.0450918881895024,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
2016-03-31,2016-04-01,next-session open,1.5000000000000002,1.0445924317818978,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2016-04-29,2016-05-02,next-session open,0.5190934128988056,1.0447686570892802,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0
2016-05-31,2016-06-01,next-session open,0.00570461646996237,1.058042084575547,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0
2016-06-30,2016-07-01,next-session open,0.5077354728389891,1.1099728051793514,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
2016-07-29,2016-08-01,next-session open,1.0,1.096236912052947,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2016-08-31,2016-09-01,next-session open,0.01679454211164741,1.091658052920971,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2016-09-30,2016-10-03,next-session open,0.5138794925732436,1.0917466395376718,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,2016-11-01,next-session open,0.5066419224780787,1.060249312969674,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2016-11-30,2016-12-01,next-session open,0.04510960371789144,1.09116161775128,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2016-12-30,2017-01-03,next-session open,0.009187918742981888,1.1146659296820642,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2017-01-31,2017-02-01,next-session open,0.018812040945720976,1.1379931267129264,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2017-02-28,2017-03-01,next-session open,0.012673166647379386,1.1647178015039632,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2017-03-31,2017-04-03,next-session open,0.5030139506766514,1.1590412113400208,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-28,2017-05-01,next-session open,0.005673934723587293,1.1798278838466776,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,2017-06-01,next-session open,0.017252757897740806,1.1962627126914114,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,2017-07-03,next-session open,2.0,1.211985566120741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-31,2017-08-01,next-session open,0.0,1.2125682550109613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-31,2017-09-01,next-session open,2.0,1.2139753488709029,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-29,2017-10-02,next-session open,1.9999999999999998,1.2424257830890635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-31,2017-11-01,next-session open,2.0,1.243376822191801,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,2017-12-01,next-session open,0.015064870052412777,1.251128631345006,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-29,2018-01-02,next-session open,0.5051973009452296,1.2819157319943977,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2018-01-31,2018-02-01,next-session open,0.5000000000000009,1.3395417389799729,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,2018-03-01,next-session open,2.0000000000000004,1.2829873762495991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-29,2018-04-02,next-session open,2.0,1.284741789250425,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
