,CAGR,volatility,max_drawdown_daily,ending_10000,positive_months,months
HAA gross,0.13086838638551868,0.09869689721009252,-0.1298397801192851,15222.683462421586,0.7560975609756098,41.0
HAA net 5bp,0.12684215873938598,0.09861718249199025,-0.13225005150456892,15038.304711846744,0.7317073170731707,41.0
HAA net 10bp,0.12282745748751589,0.0985527939212307,-0.13465565328561702,14856.032230594543,0.7317073170731707,41.0
HAA MOC comparison 5bp,0.11954655966553229,0.09786272818350462,-0.1499424073224065,14708.240154299081,0.7317073170731707,41.0
SPY,0.21624666342515964,0.12565497229039257,-0.18755242718230247,19520.48833579341,0.7073170731707317,41.0
60 SPY 40 IEF,0.1338673167888762,0.08889273862148882,-0.10578273751921807,15361.052620699405,0.6829268292682927,41.0
