,HAA gross,HAA net 5bp,HAA net 10bp,HAA MOC comparison 5bp,SPY,60 SPY 40 IEF
2015-12-31,-0.004577333993019739,-0.005075045326023209,-0.00557275665902679,-0.0050286382256807816,-0.021291002212425525,-0.014804619457864598
2016-01-31,0.03333627212712997,0.03333627212712886,0.033336272127130195,0.03333627212713064,-0.04978652644184978,-0.016781283799395807
2016-02-29,0.014860452408399283,0.014860452408399727,0.01486045240839906,0.014606737295297822,-0.0008261019750769316,0.005493364107602039
2016-03-31,-0.000610147420305962,-0.0008599948834513427,-0.0011098423465968343,-0.0014787713731148067,0.0672658951756635,0.03998396011774186
2016-04-30,0.0017590434622531959,0.001007724179656888,0.0002564048970608024,-0.00596464234609706,0.003941272553317887,0.0016609217498202433
2016-05-31,0.012068855665530398,0.011806176419177472,0.01154349717282388,0.011635925057532193,0.017011478806909786,0.00980410139532184
2016-06-30,0.04320004480064843,0.04319706922391542,0.04319409364718352,0.04298036307866204,0.003476124344586884,0.014383633750209901
2016-07-31,-0.0012362172394253523,-0.0014897713136763358,-0.0017433253879275412,-0.0012059697372526212,0.036471239043314174,0.02292748569169234
2016-08-31,-0.008406912700832159,-0.008902709244481444,-0.00939850578813095,-0.005283684057378335,0.0011972958449715243,-0.0033128360015916014
2016-09-30,0.0005999142721742068,0.0005915119394024337,0.0005831096066306607,0.00037337985932395235,5.815752179549882e-05,0.0009898959341465563
2016-10-31,-0.030987247760451808,-0.031236225690860042,-0.0314852036212685,-0.03249513173737939,-0.017337202896571258,-0.016380548960253538
2016-11-30,0.02534745809342409,0.025087716128119775,0.024827974162815236,0.02939629909548258,0.036838471541279505,0.005109182414804403
2016-12-31,0.022478126357785122,0.02245506461124358,0.022432002864701373,0.022448154565782197,0.020271758672396833,0.0117596295168505
2017-01-31,0.020549600086503528,0.02054491176578166,0.02054022344505979,0.020647423946640098,0.017894986697143844,0.01163728284530996
2017-02-28,0.018575491332457172,0.018565910633982385,0.018556329935508487,0.018558575256325094,0.039291588351368256,0.026448792782794328
2017-03-31,0.001724505504147933,0.0017181579962450844,0.001711810488342902,0.0014769838572630256,0.0012496402852304467,0.001224243875223019
2017-04-30,0.016403772763186275,0.01614814014506738,0.015892507526949595,0.01566505739970414,0.009926202243529136,0.010390503330548029
2017-05-31,0.014576423939684835,0.014573545628630002,0.014570667317573838,0.014563720981836337,0.014112909216573044,0.011771823414513882
2017-06-30,0.013090828561704626,0.01308208925077703,0.013073349939849876,0.012073171205033928,0.0063748035205948295,0.001780160048324042
2017-07-31,0.0033905890960521656,0.002387198506955901,0.0013838079178605245,0.00032858270527702516,0.02055422887831826,0.013823537759097837
2017-08-31,0.0011373725454870698,0.0011373725454864037,0.0011373725454864037,0.00013623517294125698,0.0029179864160617797,0.007606518406358287
2017-09-30,0.023789524861680622,0.022765735336818693,0.02174194581195743,0.02556379516183993,0.020149150721848752,0.006287971924334945
2017-10-31,0.0003772314451573333,-0.0006231457862867495,-0.0016235230177321647,-0.00030099845943076797,0.02356408944081534,0.01337553417825621
2017-11-30,0.00952697943059988,0.008517452451168861,0.007507925471738286,0.01573843621299198,0.030566053155807404,0.01721147069709561
2017-12-31,0.014814566365960014,0.014806922345786955,0.014799278325613896,0.01455704836429872,0.012127827415951975,0.00799984426875544
2018-01-31,0.0551975459275893,0.054931004447417386,0.05466446296724592,0.055000820910583226,0.05635921804583566,0.025139984851760167
