,SPY,IWM,EFA,EEM,VNQ,PDBC,IEF,TLT,TIP,BIL
2015-11-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-12-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
2016-03-31,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-04-29,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2016-05-31,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2016-06-30,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
2016-07-29,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-08-31,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-09-30,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2016-10-31,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2016-11-30,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2016-12-30,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-01-31,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-02-28,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-03-31,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-28,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-31,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-31,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-29,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2018-01-31,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-29,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-31,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2018-06-29,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2018-07-31,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2018-08-31,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
