sample,strategy,start,end,CAGR,volatility,max_drawdown_daily,ending_10000,positive_months,months
exact_etfs,HAA gross,2015-11-30,2026-08-31,0.1260673469031668,0.08417809225193092,-0.12983962461164067,35835.785308752405,0.7829457364341085,129
exact_etfs,HAA net 5bp,2015-11-30,2026-08-31,0.1223259433822983,0.08419458927095591,-0.1322498964525869,34576.3600717954,0.751937984496124,129
exact_etfs,HAA net 10bp,2015-11-30,2026-08-31,0.11859432447963703,0.08422860951183515,-0.13465549868832993,33360.348077828225,0.751937984496124,129
exact_etfs,HAA MOC comparison 5bp,2015-11-30,2026-08-31,0.12034544469276298,0.08430253074375833,-0.1499423423656926,33926.065101784676,0.7674418604651163,129
exact_etfs,SPY,2015-11-30,2026-08-31,0.14699007223983096,0.15063626572770775,-0.33717252250853624,43678.36096208021,0.7054263565891473,129
exact_etfs,60 SPY 40 IEF,2015-11-30,2026-08-31,0.09393717917411748,0.09786658060446048,-0.21200862798080955,26252.34570904501,0.6976744186046512,129
extended_dbc_proxy,HAA gross,2008-05-30,2026-08-31,0.1014553265154916,0.09267986676154037,-0.13154574657261575,58330.49961686392,0.6894977168949772,219
extended_dbc_proxy,HAA net 5bp,2008-05-30,2026-08-31,0.09775795557540023,0.09271907139905887,-0.13155917101562564,54858.67644474985,0.6757990867579908,219
extended_dbc_proxy,HAA net 10bp,2008-05-30,2026-08-31,0.09407053283957012,0.09277259273572773,-0.13202372858873834,51591.3759067323,0.6666666666666666,219
extended_dbc_proxy,HAA MOC comparison 5bp,2008-05-30,2026-08-31,0.1013026717758907,0.09201526646907643,-0.14765118320167325,58183.138499109264,0.6757990867579908,219
extended_dbc_proxy,SPY,2008-05-30,2026-08-31,0.11802145797183816,0.15688040458337657,-0.5069912708731319,76597.57773496964,0.6757990867579908,219
extended_dbc_proxy,60 SPY 40 IEF,2008-05-30,2026-08-31,0.08539456735517081,0.09712589248719769,-0.30750208063959994,44614.34219288123,0.6712328767123288,219
