,SPY,IWM,EFA,EEM,VNQ,DBC,IEF,TLT,TIP,SGOV,BIL
2008-05-30,-0.0109682526769804,0.0013434814117273819,0.0005462094934827744,0.07869725823199511,0.008615225690903505,0.29807499497750756,0.02110278934250978,0.004169557706326377,0.04009113211663501,0.011917659335522024,0.011917659335522024
2008-06-30,-0.08925028553398848,-0.07844040420973564,-0.08374075250607874,-0.02538549974573076,-0.08078520004837259,0.39016915119986595,0.03525067538897164,0.03697261012501479,0.05924079598164733,0.011735037701153916,0.011735037701153916
2008-07-31,-0.06666883730863127,-0.003624472365609782,-0.0816770520147202,-0.057969220673641436,-0.017440050144479302,0.19798725600355388,0.031176726387866005,0.01847937439158795,0.036363179382931765,0.011191939092489722,0.011191939092489722
2008-08-29,-0.05002517332054812,0.01398078454107976,-0.1115872509560496,-0.11765892079965784,-0.00880394056469394,0.10452185006076489,0.04030963093219375,0.050599519718848185,0.039827932553147205,0.009772028606997052,0.009772028606997052
2008-09-30,-0.12946887754075684,-0.05663357164678859,-0.19607867272596594,-0.22931463870493907,-0.012958686048245904,-0.0406850767726922,0.028559901125211562,0.04621676848176143,-0.011248514599157128,0.013040474477894692,0.013040474477894692
2008-10-31,-0.26249332174457624,-0.25926331442923933,-0.349259320828859,-0.4168313659737333,-0.34472165806974703,-0.2749669825282218,0.021383770812149233,0.025498639747618096,-0.08031610956715188,0.00810483785102642,0.00810483785102642
2008-11-28,-0.27458424539446447,-0.3037495495420208,-0.33187024584591573,-0.4018506963519427,-0.42305830101658415,-0.30836148868004776,0.09238333516897701,0.1624625611616088,-0.06350656618547898,0.00673529919748056,0.00673529919748056
2008-12-31,-0.21472265181265218,-0.21024262100423813,-0.21327593932876818,-0.2711727783951224,-0.23441314453717788,-0.3087076750822596,0.12528279364722184,0.2690262997892538,0.0005891325454102092,0.004713449743236675,0.004713449743236675
2009-01-30,-0.23501949729733665,-0.2491398910995084,-0.2789001705115111,-0.2858170817754172,-0.34710159034962923,-0.27294758290985704,0.060329975406797826,0.07382505757639765,-0.0015164224813855043,0.0057269865485067295,0.0057269865485067295
2009-02-27,-0.28309057913834546,-0.2935525499565004,-0.30248989259614845,-0.2797938478467942,-0.40181065994839976,-0.2830230494794971,0.035320159110680316,0.048369538329926576,-0.03076429164090347,0.004705681811669193,0.004705681811669193
2009-03-31,-0.17866691627624187,-0.2036046947218031,-0.21562485984225918,-0.13334248934336138,-0.3618794458443284,-0.21054743769432788,0.05554386066495054,0.05405099992849782,0.02608971752121203,0.002716216001038052,0.002716216001038052
2009-04-30,-0.06802368766100458,-0.03705702558365881,-0.06962485123149861,0.04154458401725605,-0.0754908272016476,-0.16998321857829599,0.037147954185014515,0.014334943145029033,0.018806099183387992,0.003600957616102962,0.003600957616102962
2009-05-29,0.009615980734362622,0.018548724346050455,0.07249261115590366,0.21747286795201842,0.0019556381512996213,0.00516824832103599,0.009835777550652847,-0.02806080635119132,0.04686478186066356,0.003451623318175834,0.003451623318175834
2009-06-30,-0.01697928727830536,0.006457698603736101,-0.009164381443804825,0.07918342297512457,-0.06987103760897692,-0.07866809246972753,-0.013570887128345671,-0.055100269663808904,0.007810197954691761,0.002644751631417308,0.002644751631417308
2009-07-31,0.054906536412975465,0.07272571263841851,0.11101417709866979,0.2041225600451097,0.0018771488883323195,-0.027802648417392717,0.010361587499147895,-0.0031977329158124346,0.014410725614413922,0.0009286057341994503,0.0009286057341994503
2009-08-31,0.09281048338957429,0.10789272637489594,0.14680429371165374,0.15896672485843588,0.18993011516542677,-0.08420452459865069,0.01899293588806175,0.023508600833481524,0.021628683463403575,0.0015715110239981345,0.0015715110239981345
2009-09-30,0.11622925036267745,0.14591078852845485,0.1804058181989147,0.26361049690246985,0.2252744430544221,-0.06570587028362904,0.022267846168221084,0.027365989544237135,0.0350054303473884,0.00043752334507651813,0.00043752334507651813
2009-10-30,0.08201704682463404,0.04614162465541741,0.14184937388246627,0.21176577244266107,0.10658246412047437,0.05441652595989235,0.02513339915833085,0.015322454561775029,0.06979951123917189,0.0010041607392426433,0.0010041607392426433
2009-11-30,0.14806563618320612,0.1153948361642313,0.1638964787783892,0.31500166916399763,0.22389563397826773,0.0870103509438066,0.029685609753023035,0.004266851110672321,0.0866212449593205,0.0005029246152699896,0.0005029246152699896
2009-12-31,0.14199916520345157,0.15984929355550637,0.12872201522237664,0.2740480343013613,0.23608297268083278,0.09117783262644069,-0.03385370283968192,-0.09648709307712797,0.033689554817596695,0.0008024675300875583,0.0008024675300875583
2010-01-29,0.1076593740671096,0.12301375608015552,0.09773756784354432,0.18668577284423227,0.19390588164025832,-0.00281011131916184,0.008213142563140069,-0.020751079538084194,0.051763965289594094,0.000381749286543831,0.000381749286543831
2010-02-26,0.16707014108978913,0.21512574554330038,0.1332240762757019,0.2413692737515802,0.3175628697050843,0.07623318199019863,0.000579605847415926,-0.03553538083498764,0.03136109760111436,0.00010415905752389487,0.00010415905752389487
2010-03-31,0.18363839846876107,0.23404928073393327,0.16107947445922127,0.2283630522006726,0.37712517329157685,0.0482122274674448,-0.010391342246422491,-0.053228733878918244,0.01906747854510349,3.299719287147562e-05,3.299719287147562e-05
2010-04-30,0.16772192968546246,0.2567910761658578,0.09410847233981753,0.17910932160385892,0.34810490058578825,0.0938744598526543,0.009927235748476204,0.0001527617780226198,0.04282216002282063,-0.0005670251815810268,-0.0005670251815810268
2010-05-28,0.030560063481650274,0.11677977710746057,-0.0659775580177327,-0.0006634426059352605,0.2135982372477962,-0.08407652644383201,0.034807622214638345,0.050186016419936974,0.02941933001980379,0.00010942864914909034,0.00010942864914909034
2010-06-30,-0.021692309722489728,0.004201819898784542,-0.06918424248091287,-0.010374110619194965,0.131447151933922,-0.067742410329027,0.0752309920544621,0.11963945478902727,0.047027050308612706,0.00017432933129452044,0.00017432933129452044
2010-07-30,0.04353688175826273,0.06252394761959756,0.037649473312317466,0.09088375172126409,0.21206391811551134,1.9894688075228206e-05,0.06421842528295613,0.07647294008818284,0.03076933025035067,-4.9044980148071904e-05,-4.9044980148071904e-05
2010-08-31,-0.017646737920931993,-0.03356433106414608,-0.011830239345433285,0.05316835819772192,0.12288756207553886,-0.018915120087405785,0.08663063130979992,0.14936979341059242,0.05204384676622109,-0.00016914278957103068,-0.00016914278957103068
2010-09-30,0.07219074223813127,0.09275969222318925,0.07750729301753706,0.13876730954945465,0.1419478191601189,0.08045136045036128,0.07010288569660031,0.08412988275004776,0.04664975754558509,-0.0002890872081527107,-0.0002890872081527107
