,HAA gross,HAA net 5bp,HAA net 10bp,HAA MOC comparison 5bp,SPY,60 SPY 40 IEF
2008-06-30,-0.02309037309760975,-0.023578827911060918,-0.024067282724512973,-0.021739459041317577,-0.08062776833743246,-0.046292145972452126
2008-07-31,-0.03470639884373028,-0.035179372531341846,-0.03565234621895297,-0.02178794178002108,-0.008985527327004972,-0.002217476619235881
2008-08-31,-0.001663363454191713,-0.0016879199910724285,-0.001712476527952811,-0.0021203710599471126,0.015453392182852355,0.015383802516961254
2008-09-30,-0.04545356528761202,-0.04571073580399376,-0.04596790632037451,-0.04237092162564349,-0.09417360553664722,-0.056787849706250504
2008-10-31,-0.014151134458205594,-0.014880494502200636,-0.015609854546195012,-0.008628516136186981,-0.16518671952094777,-0.10272091019873353
2008-11-30,0.07753802840224622,0.07753802840224666,0.07753802840224622,0.0775380284022471,-0.06960596284958132,-0.010779940908244412
2008-12-31,0.05156191989414216,0.05156191989414194,0.05156191989414216,0.05129902941416842,0.009795991268990889,0.027886608117749345
2009-01-31,-0.06255013488580186,-0.06278449735208047,-0.06301885981835909,-0.062048220926415265,-0.08211432378525585,-0.06482086356226979
2009-02-28,-0.007009138691898564,-0.007238837047091051,-0.007468535402284093,-0.007349113979917443,-0.10744899486112902,-0.06760391435605684
2009-03-31,0.03313600388944504,0.033136003889444376,0.03313600388944482,0.032877719888472656,0.08331050207476154,0.06420321313487931
2009-04-30,-0.03891469788617041,-0.03915496921169892,-0.03939524053722743,-0.038216656966572615,0.0993459916645032,0.0488596983581695
2009-05-31,0.01909123061969842,0.018826533419442626,0.01856183621918661,0.01971582279189965,0.058453217539315316,0.026769108820739795
2009-06-30,-0.021275322856222245,-0.02176468519479391,-0.022254047533365795,-0.006495454520026422,-0.0006546762040848808,-0.0021532787286677735
2009-07-31,0.05243041061312659,0.051899140910064645,0.0513678712070027,0.049623264681269985,0.07460538426074415,0.04793620480319616
2009-08-31,0.018536251658586522,0.018026983532756446,0.01751771540692726,0.024276306257590585,0.03694009162647616,0.025372384250773816
2009-09-30,0.06587359999656406,0.06559654641850488,0.06531949284044614,0.06535897256253476,0.03545732587690886,0.025778706912766847
2009-10-31,-0.042263624484635165,-0.04227101845323833,-0.042278412421841494,-0.04254371974627247,-0.01922540064476852,-0.01219434916325901
2009-11-30,0.061246052322403655,0.06097839925424098,0.06071074618607719,0.0612432000666161,0.06160692478083152,0.04499865869244046
2009-12-31,0.03326090424954442,0.03325575807159975,0.03325061189365397,0.03294385866086502,0.019100887041918257,-0.006208848330427896
2010-01-31,-0.05000158271715127,-0.05024313770353017,-0.05048469268991029,-0.05162152540955034,-0.0363422888485746,-0.012147300976731334
2010-02-28,0.0373739923310088,0.0373659244304565,0.03735785652990242,0.03737873573542383,0.031194427322682516,0.019847670276353258
2010-03-31,0.08151294630257566,0.0815060257597815,0.08149910521698844,0.08153573105244694,0.06087975675459378,0.032259918470496585
2010-04-30,0.03558921503178736,0.03558435053543807,0.03557948603908989,0.03550920727435769,0.01547015584235334,0.016028554571955844
2010-05-31,-0.07549578382047828,-0.07551007447197244,-0.07552436512346639,-0.07598786136603508,-0.07945453303708194,-0.035737621034642286
2010-06-30,-0.019149134257347877,-0.019639559690219577,-0.02012998512309172,-0.010301860001446839,-0.05174109272237082,-0.01873261327138842
2010-07-31,0.040712408521290655,0.04068875487911239,0.04066510123693434,0.040438801501372135,0.06830070723368431,0.04462599936808309
2010-08-31,0.018924001307862204,0.018643556740713274,0.018363112173565233,0.018065675561711902,-0.044980594060570867,-0.012919184481383406
2010-09-30,0.033127442623945846,0.03310658739620731,0.033085732168468995,0.03398855628203856,0.0895548654323981,0.05298096796840479
2010-10-31,0.015591584158648253,0.015324369826858364,0.015057155495071362,0.018337831798972193,0.03820232458636674,0.02297589014082968
2010-11-30,-0.013937336410616341,-0.014183852076513292,-0.014430367742410799,-0.01548969968010483,-1.1102230246251565e-16,-0.0035904921187918104
2010-12-31,0.06770206658236932,0.06742926922811376,0.06715647187385798,0.06609580768403545,0.06685233688614334,0.02597260120061451
2011-01-31,0.005861480586540457,0.005605927680465639,0.0053503747743919305,0.006236095188955071,0.02330009585189763,0.014101605876832402
2011-02-28,0.045366040574748245,0.04510233935929264,0.04483863814383726,0.04472679713186101,0.03473714835215236,0.01996314331098814
2011-03-31,0.008922297363942455,0.008919535942655488,0.008916774521368298,0.008947764621792142,0.00012002708365188575,-0.0004936466849863042
2011-04-30,0.03960012531130763,0.039592670594343016,0.039585215877377955,0.03932712492875745,0.02896145364416136,0.024724345435615636
2011-05-31,-0.02099555574700085,-0.021243351397090326,-0.021491147047180137,-0.019503651944885902,-0.011214498652699967,0.003351111463248291
2011-06-30,-0.027928976504683733,-0.027937285615268426,-0.027945594725853784,-0.028191706255546234,-0.0168697870917085,-0.012094122779076288
2011-07-31,-0.017052962964643537,-0.01729911529054262,-0.01754526761644104,-0.01628916116889778,-0.02000427086561296,0.000668915805289938
2011-08-31,0.02715623621672636,0.02638586903956397,0.02561550186240069,0.02073296684640291,-0.05497588673814069,-0.014193731567755274
2011-09-30,-0.025238312663921514,-0.025267909197401517,-0.0252975057308803,-0.02552759596731391,-0.06942120078821046,-0.03272070973089414
2011-10-31,-0.025733627374463386,-0.02620801943856743,-0.026682411502672587,-0.01971745368771116,0.10914760297398485,0.06075341784892152
2011-11-30,0.015077932060870713,0.014567045118933919,0.01405615817699779,-0.004342834895415204,-0.004063737214547669,-0.0009924158019354312
2011-12-31,0.02163647073665298,0.021376153429219613,0.02111583612178647,0.020904633794045946,0.01044823098301717,0.014220063556090956
2012-01-31,0.022310307129104867,0.022054729552322128,0.02179915197554072,0.028601798724985805,0.04637496562971277,0.0311340548219865
2012-02-29,-0.006167510467635529,-0.006424574041465458,-0.006681637615294833,-0.0059518016677235774,0.04340508725189807,0.021564252903558012
2012-03-31,0.014907467555675957,0.014646882919459037,0.014386298283242338,0.01640914247363856,0.03216424060072365,0.012925911714161797
