,HAA gross,HAA net 5bp,HAA net 10bp,HAA MOC comparison 5bp,SPY,60 SPY 40 IEF
2015-11-30,1.0,1.0,1.0,0.9995,1.0,1.0
2015-12-01,1.0052711332760602,1.0047684977094222,1.0042658621427842,1.0048160095576704,1.0054175430901962,1.0051579249378866
2015-12-02,1.002447167152758,1.0019459435691815,1.0014447199856051,1.001993321949109,0.9951569595326254,0.9978725531472479
2015-12-03,0.9919049919698691,0.9914090394738841,0.9909130869778991,0.9914559196019362,0.9812222061851892,0.9852969395006671
2015-12-04,0.9955760191415581,0.9950782311319873,0.9945804431224163,0.9951252847627691,1.0003585433776403,0.9982464184793791
2015-12-07,0.9987765999403702,0.9982772116404,0.9977778233404296,0.9983244165393365,0.9942982398610263,0.9958898285727757
2015-12-08,0.9993407860187533,0.9988411156257441,0.9983414452327346,0.9988883471896495,0.9876167700050151,0.9921065082533067
2015-12-09,1.0008468767533518,1.0003464533149753,0.9998460298765985,1.0003937560608256,0.9799333881250021,0.9880986142009913
2015-12-10,0.9986819403162615,0.9981825993461034,0.9976832583759452,0.9982297997711689,0.9824628010927167,0.9887507203940713
2015-12-11,1.0066828403621308,1.00617949894195,1.0056761575217688,1.0062270775113151,0.9634216068771349,0.9805247637030607
2015-12-14,0.9992468623295262,0.9987472388983616,0.9982476154671966,0.998794466023178,0.9682893648617549,0.9804725144763975
2015-12-15,0.9967055871925068,0.9962072343989107,0.9957088816053142,0.9962543414161513,0.9784539365568227,0.9855552556936579
2015-12-16,0.9940692844639383,0.9935722498217064,0.9930752151794743,0.993619232240109,0.992770825805877,0.9930913954122088
2015-12-17,0.9982117699189655,0.9977126640340063,0.9972135581490464,0.9977598422375394,0.9776427449293764,0.9856707125712284
2015-12-18,1.001788597425847,1.0012877031271343,1.0007868088284209,1.0013350503812648,0.9602261930713339,0.9766507970936541
2015-12-21,1.0022588598150035,1.0017577303850962,1.0012566009551882,1.0018050998651065,0.9681470413949858,0.9815913169910299
2015-12-22,0.9994355376347224,0.9989358198659052,0.9984361020970873,0.9989830559080294,0.9769325178125446,0.9857338386338889
2015-12-23,0.9971763095409645,0.9966777213861943,0.9961791332314233,0.9967248506510532,0.9890300993764849,0.9920891481803686
2015-12-24,0.9990049237372968,0.9985054212754284,0.9980059188135592,0.9985526369655682,0.9873977239368074,0.9918408028722558
2015-12-28,0.9991933230669118,0.9986937264053787,0.9981941297438446,0.9987409509997831,0.9851417492779587,0.9905625401289267
2015-12-29,0.9939142781795631,0.9934173210404738,0.9929203639013834,0.9934642961328569,0.9956550047777544,0.9947599312828423
2015-12-30,0.9942915367980942,0.9937943910296955,0.9932972452612958,0.9938413839523471,0.9885977418852494,0.9906764015430282
2015-12-31,0.9954228526943862,0.9949251412680394,0.9944274298416915,0.9949721876597576,0.9787086069360047,0.9851952206688189
2016-01-04,0.9996642293990895,0.9991643972843903,0.99866456516969,0.9992116441351085,0.9650267861964835,0.9787006750163675
2016-01-05,0.9993826423151287,0.9988829509939716,0.9983832596728132,0.9989301845361183,0.9666592485247245,0.9795851999460802
2016-01-06,1.005415468504658,1.004912760770406,1.0044100530361528,1.0049602794403287,0.954465307544028,0.9745140514055742
2016-01-07,1.0075840846161548,1.0070802925738471,1.0065765005315381,1.007127913738466,0.9315660004499664,0.9614101189919476
2016-01-08,1.0101288554438608,1.0096237910161392,1.0091187265884163,1.0096715324535495,0.921340867426243,0.9561750696439562
2016-01-11,1.0069233070846,1.0064198454310578,1.0059163837775145,1.0064674353655332,0.922253023564303,0.9554778210726637
2016-01-12,1.0114487546534883,1.010943030276162,1.010437305898834,1.010990834095599,0.9296938994640033,0.961780150855776
2016-01-13,1.01540826829865,1.014900564164501,1.0143928600303507,1.0149485551213238,0.9065067305595593,0.9492008637827734
2016-01-14,1.013334035835681,1.0128273688177636,1.0123207017998448,1.012875261740718,0.9213887430246496,0.957457082113069
