Date,HAA net 5bp,60 SPY 40 IEF
2026-08-31,3.4576357653303007,2.6252344707243167
2026-09-01,3.451947526727134,2.610838942674472
2026-09-02,3.4522911231009505,2.618698027218556
2026-09-03,3.4526349817620754,2.636307474444801
2026-09-04,3.4540101541192647,2.6298378479982683
2026-09-08,3.454354012780389,2.6201170165023724
2026-09-09,3.454697609154205,2.6098473507778133
2026-09-10,3.4550414678153296,2.592286282305375
2026-09-11,3.4557289228502706,2.6036470991725342
2026-09-14,3.4560727815113954,2.595726246544023
2026-09-15,3.4560727815113954,2.5873007816872797
2026-09-16,3.4567604988336442,2.5794105201894273
2026-09-17,3.45710409520746,2.602891156321378
2026-09-18,3.458135408903525,2.595918891429077
