,SPY,IWM,EFA,EEM,VNQ,PDBC,IEF,TLT,TIP,SGOV,BIL
2015-11-30,0.022698803510912496,0.018126864536423343,-0.024368460008988208,-0.08776172542064495,0.03133876823759918,-0.15523613717497844,0.006541460912811881,0.004426508583176392,-0.010273926963015573,-0.0004922665635929968,-0.0004922665635929968
2015-12-31,0.016679733234260752,-0.03673980320718637,-0.01670854595610141,-0.09437807883667043,0.05151338522663901,-0.1682817505986391,0.002973504570656621,0.0013900622090314008,-0.013528184983274988,-0.0006011863805282236,-0.0006011863805282236
2016-01-29,-0.0476734580324949,-0.11074470810808043,-0.08643480048834812,-0.13050658439122706,-0.03336562845139043,-0.16841864017126237,0.024466230052409388,0.023920083135913733,-0.0053822930943151215,-0.00021898195879391236,-0.00021898195879391236
2016-02-29,-0.03496562396191377,-0.09686423703325003,-0.09852856886888811,-0.1077128912934327,-0.001302978446804992,-0.14652290175747737,0.03860698343326441,0.06130481041936425,0.00875923704511991,-0.00032815792703003166,-0.00032815792703003166
2016-03-31,0.04545667100315215,-0.0028971230738328024,-0.010255989679608973,0.03199135909926287,0.08615221087153968,-0.07799451232157986,0.02910113086678684,0.045352948095145645,0.027690980529294473,-0.00016412594766951338,-0.00016412594766951338
2016-04-29,0.022198078322211157,0.009134486697871452,-0.014718442842370283,-0.012196232926426964,0.044947889519364265,0.0014462419736156473,0.022520179159193993,0.03375176733390489,0.019137871335615286,0.00032836459663157513,0.00032836459663157513
2016-05-31,0.034618756032329556,0.01490399797328612,-0.010648522437255198,-0.03272647958068542,0.07798323727507495,0.0075891354744266615,0.02039307142791663,0.04502597473183376,0.011878663319874111,0.00021898385635743534,0.00021898385635743534
2016-06-30,0.026482896752558216,-0.0006446644919343159,-0.03806405814014446,0.005039733999393531,0.12801086215087687,0.05424369881537092,0.05801015222136768,0.12879183977864345,0.037402419217040794,5.49092076296831e-05,5.49092076296831e-05
2016-07-29,0.07012085187090983,0.08177838052721031,0.01089310285694478,0.07682724541130714,0.15762420338929967,-0.01729873678398383,0.0404645402042908,0.10771825926173023,0.032303431438305885,0.00038313674640216844,0.00038313674640216844
2016-08-31,0.07519966817448642,0.09791356299473947,0.03436557551207553,0.10991781675333134,0.11858687243105226,0.012698864831296314,0.025586412529128605,0.08281213517086394,0.028156522686215518,0.0002737210830129344,0.0002737210830129344
2016-09-30,0.06353537970907669,0.0968213488316017,0.047606982212954174,0.09663037751243841,0.05360134931497798,0.03631647622403983,0.0188781353723953,0.0463605654273449,0.02816402250153116,0.000656487646024162,0.000656487646024162
2016-10-31,0.012880936481757421,0.010313951714876562,-0.010486837157181628,0.049013432160285114,-0.02144202532971501,0.014996020764094786,0.004523704555962793,0.0022373218946071805,0.017814023846401822,0.0006570927311276287,0.0006570927311276287
2016-11-30,0.04888426951087732,0.1144660694357087,-0.02194693511192522,0.019241101800950094,-0.01900138545910629,0.04117573068640262,-0.030654505927716097,-0.06752494076862181,0.000889419658982038,0.00010953555953602256,0.00010953555953602256
2016-12-30,0.06463765821485756,0.13057201488573478,0.018029181365804475,0.02056490281260362,0.015551592377307383,0.07814005230950821,-0.02789729475967534,-0.062427871154686676,0.0009464603938166005,0.0004923224979045404,0.0004923224979045404
2017-01-31,0.08847053962674939,0.15177831496326888,0.055283586017743414,0.0928907950481746,0.016206704422112084,0.09732110293322471,-0.030627054146672217,-0.061514670950884226,0.005665826794662043,0.0006569492737635851,0.0006569492737635851
2017-02-28,0.1165767399805358,0.13994005182323915,0.07257979259287839,0.10722377647026687,0.06722989872370966,0.09062909730090055,-0.014710239714134488,-0.032891351240878774,0.01051201818096062,0.0011606585432568095,0.0011606585432568095
2017-03-31,0.08306573842747117,0.0997677046091871,0.07482220525253153,0.0995374249085092,-0.0017913545372706119,0.024541995698343283,-0.015832315417936477,-0.03841304962023637,0.003505799184980174,0.000749956019241077,0.000749956019241077
2017-04-28,0.0925434460582385,0.11994795266586794,0.08371985288928152,0.09206479663252465,0.02835147289201284,-0.017625854208760977,-0.0016463557175268317,-0.01158495136783283,0.00658355691867743,0.0012640095937367368,0.0012640095937367368
2017-05-31,0.0801854235914235,0.054687816476434004,0.11805877908435991,0.13871362170504725,0.010415139597110629,-0.033489831242431045,0.013084970784598943,0.01854409059909659,0.010936059680762833,0.001214926995391108,0.001214926995391108
2017-06-30,0.07664212952916555,0.08779993694559662,0.10338119869933671,0.11915935291239033,0.011642617219717016,-0.05106848863820751,-0.0014467150882766233,0.008790249883600387,-0.003203455389056087,0.0022507431460506155,0.0022507431460506155
2017-07-31,0.0790901577656607,0.06747615151175773,0.10428171356794769,0.14105065282070817,0.008238540440347858,0.016153646916251208,-0.00037271277799361124,-0.010678283176901726,-0.0013684520158243896,0.0019163944609718042,0.0019163944609718042
2017-08-31,0.06272711960229549,0.04696026130253236,0.08311669301549704,0.13729324844411223,0.004891554683778193,0.01127940838833802,0.011775367761357625,0.01801884362303316,0.007748502507720911,0.002809551815927791,0.002809551815927791
2017-09-29,0.08137916315548077,0.10405666907289002,0.09503481687882531,0.11021739265096364,0.009588977610956756,0.03339798885282619,-0.005903297678441555,-0.01071629534432747,-0.0015748659585357039,0.002980242260253896,0.002980242260253896
2017-10-31,0.0989663073871761,0.10554581793561069,0.10064661406246644,0.12905696937776717,0.010531495061724211,0.06130982434321769,-0.004236332716409247,0.002968210545471528,0.0016040044170070322,0.0031772898126607996,0.0031772898126607996
2017-11-30,0.1104913826132336,0.11250620945886286,0.10021800324842023,0.11702019943454511,0.04737596562153379,0.06264887695514404,-0.0013698369630641971,0.019248736948606737,0.004672209003199729,0.003337985241732011,0.003337985241732011
2017-12-29,0.10290276381733832,0.06698596167666554,0.09791653107816695,0.15835529397782494,0.021128436130678302,0.07699924630292349,0.006346836842796383,0.04101229909179077,0.017946866008779927,0.0034530699553735333,0.0034530699553735333
2018-01-31,0.14378738463108348,0.09019108432719675,0.12713846451809374,0.19470474313617525,-0.02183466768458947,0.0831052651016781,-0.01674556237387298,0.0023493324579339225,0.0029628504785361998,0.004215930596217998,0.004215930596217998
2018-02-28,0.06843663464427674,0.03298654895909284,0.05551237698461706,0.09373927423518524,-0.10028485126178965,0.03650959883429375,-0.025167117154166863,-0.03398629667352279,-0.009099169171260107,0.0041727885756749905,0.0041727885756749905
2018-03-29,0.03930886951288748,0.039964009814348,0.03994097606119948,0.09345760284955146,-0.03894330718487882,0.0620848372724252,-0.008670742973778067,0.004527265470394393,0.002959386707597267,0.004947746280613841,0.004947746280613841
2018-04-30,0.029370571591019412,0.03571939936587459,0.03465570446821037,0.02874617519833339,-0.028610843411088605,0.08548025669642273,-0.021096492238651177,-0.019332834048133407,-0.0004718838202798781,0.004973156822714486,0.004973156822714486
2018-05-31,0.050253570139978776,0.10549957515607322,0.01198478613920076,0.015598310233119028,0.021284645862371998,0.11176606896398933,-0.007196923729709426,0.006921440510788662,0.005647506643907174,0.005833652085223684,0.005833652085223684
2018-06-29,0.0523478380261464,0.08464688552342725,-0.0013873460945509342,-0.03671673356415625,0.038677870418245996,0.07338289171177215,-0.009797061485426611,-0.005176110894269975,0.008657237957956587,0.006180050748661181,0.006180050748661181
2018-07-31,0.0683130246025922,0.08895534641150554,0.00841230555577896,-0.017750116515227954,0.04015771307015631,0.022867310357645887,-0.007858841727397342,-0.006108269829328328,0.002970514251634998,0.0065303485172735765,0.0065303485172735765
2018-08-31,0.0952409173768266,0.13022184897969924,-0.004488125253638869,-0.04945747313990165,0.07860431328025375,0.04070890514486453,-0.0001056427322004283,0.005120414872145318,0.009972682707511615,0.006904881563915499,0.006904881563915499
2018-09-28,0.09388108943904239,0.07027775994846219,0.010831972475284668,-0.03544392327120041,0.0226964709687133,0.06637703332461625,-0.014519853728330867,-0.029790668573896145,-0.0037908059960909124,0.007032142601495095,0.007032142601495095
2018-10-31,0.000308771660417817,-0.050157780155058646,-0.08737313098185473,-0.12750333005585676,-0.0016961248000783025,-0.012441073712590733,-0.009537356323194773,-0.04270401307833355,-0.015487394243804048,0.007611754120096237,0.007611754120096237
2018-11-30,0.014516990660181667,-0.03728122867800643,-0.054420987467315135,-0.04597162893868223,0.029669614413218526,-0.115130756574476,8.445459845013437e-05,-0.027877533459897047,-0.00955943694125827,0.008142283992039978,0.008142283992039978
2018-12-31,-0.08455559634263096,-0.1520876820409655,-0.10768284407466946,-0.08731483731299008,-0.06625548314038321,-0.13277332484314047,0.026864388702531494,0.025688727207540146,-0.006989250344773379,0.008602553908399202,0.008602553908399202
2019-01-31,0.007120155177165327,-0.005282100126032557,-0.031132804205088183,0.01466649357242053,0.08465857271233207,-0.047934957657672694,0.03426447020131418,0.03482625206721718,0.013183171331057508,0.008795905311133612,0.008795905311133612
2019-02-28,0.01614815892122956,0.012333267352937993,-0.00806022250035962,-0.016473426537917057,0.06662851805756054,-0.004554857005638513,0.023611796478569508,0.019563337289566246,0.00769655433257363,0.009142529460629822,0.009142529460629822
2019-03-29,0.057319287250071155,0.014980096585225311,0.009091118110317153,0.008346239557661506,0.12875518775546413,-0.015439822298092154,0.04509030544964038,0.06491711817194401,0.026564383155070814,0.009300494328243536,0.009300494328243536
2019-04-30,0.09140258604565665,0.05132186385079318,0.03688973249818339,0.03449947290626876,0.09117605163386808,-0.017523407738691904,0.035621581475813985,0.0427507752388433,0.02456002539540364,0.00966926039910554,0.00966926039910554
2019-05-31,-0.006771747299400471,-0.06926599474559617,-0.025314320064002083,-0.049470994060290985,0.06808828466170885,-0.06393878083633167,0.06362627606841348,0.11241344767299133,0.04026690148001155,0.010012311533816876,0.010012311533816876
2019-06-28,0.09914188295109594,0.055574764015395434,0.06254764750488079,0.04731435581492627,0.08556629587082609,0.0008869713785102928,0.05395107487038264,0.0730224042886411,0.035473642560190644,0.010032808947359195,0.010032808947359195
2019-07-31,0.05547280122974546,0.0029079780333551575,-0.004170243832062964,-0.03491081204057994,0.06671962082285615,-0.03216372799273032,0.0523921997833362,0.08182635860933873,0.03395736427004403,0.010119401799871697,0.010119401799871697
2019-08-30,0.03432305733703611,-0.04981435338612247,-0.006693774847376183,-0.03417678779350383,0.09257834326754466,-0.0712117326094861,0.08442783435036277,0.1816064488455103,0.05145393235256762,0.0099738843483142,0.0099738843483142
2019-09-30,0.034667591536947207,-0.02443745006023157,0.010287697764796377,-0.02430333039929744,0.09638264620761777,-0.06331316276457166,0.05502824104462073,0.11349555899839461,0.029604542681521157,0.00992836099452471,0.00992836099452471
2019-10-31,0.0578055474198475,0.015564781383771514,0.05654919022770455,0.03749350344964178,0.1088768874120356,-0.037823149935103634,0.06214201471060987,0.12213586463169321,0.03482627362910892,0.009770688393888893,0.009770688393888893
2019-11-29,0.10787351069175644,0.08052567910344227,0.07751053439137584,0.04239077169978814,0.06797347460872785,0.011295033803100818,0.03304831839198094,0.06987051942934139,0.026361262358977344,0.009025543434993233,0.009025543434993233
2019-12-31,0.13504143979104616,0.11338363625384923,0.0988990644639422,0.11221697054804775,0.0960508388597191,0.06825475748724152,0.017430104037542027,0.02388026350883951,0.028614528116506777,0.008551243846175172,0.008551243846175172
